,taxId,streetName,houseNumber,propertyType,area
150,60822,Harmat,23,C,251
151,84317,Harmat,24,C,148
152,56255,Harmat,25,C,111
153,77577,Harmat,26,C,166
154,73907,Harmat,27,C,145
155,10388,Harmat,28,C,220
156,46422,Harmat,29,C,222
157,44777,Harmat,30,C,155
158,28686,Harmat,32,C,176
207,79197,Kolozsi,1,C,274
208,87182,Kolozsi,2,C,131
209,43476,Kolozsi,3,C,204
210,67657,Kolozsi,4,C,160
211,60981,Kolozsi,5,C,100
212,50266,Kolozsi,6,C,279
213,60989,Kolozsi,7,C,251
214,10934,Kossuth,1,C,144
215,73457,Kossuth,2,C,191
216,97701,Kossuth,3,C,210
217,22213,Kossuth,4,C,190
218,57449,Kossuth,5,C,158
219,49395,Kossuth,6,C,284
220,79359,Kossuth,7,C,178
221,68371,Kossuth,8,C,242
222,70573,Kossuth,9,C,95
223,15284,Kossuth,10,C,104
224,53875,Kossuth,11,C,232
225,96179,Kossuth,12,C,119
226,97519,Kossuth,13,C,80
227,13656,Kossuth,14,C,242
228,29904,Kossuth,15,C,88
229,34197,Kossuth,16,C,273
230,29963,Kossuth,18,C,156
231,95158,Kossuth,19,C,175
232,11401,Kossuth,20,C,168
233,71181,Kossuth,21,C,264
234,39022,Kossuth,22,C,133
235,56516,Kossuth,23,C,165
236,17355,Kossuth,24,C,178
237,82776,Kossuth,25A,C,120
238,34093,Kossuth,25B,C,120
239,10962,Kossuth,25C,C,120
240,96094,Kossuth,26,C,181
241,48154,Kossuth,27,C,299
242,81752,Kossuth,29,C,79
246,12995,Malom,1,C,282
247,53817,Malom,2,C,48
248,18836,Malom,3,C,66
249,86387,Malom,4,C,456
250,38358,Malom,5,C,227
251,40085,Malom,6,C,63
252,19310,Malom,7,C,259
253,80884,Malom,8,C,135
254,82501,Malom,9,C,74
255,49645,Malom,10,C,86
256,86017,Malom,11,C,192
257,69059,Malom,12,C,271
258,67071,Malom,13,C,82
259,72278,Malom,14,C,202
260,24431,Malom,15,C,120
261,88380,Malom,16,C,192
262,68881,Malom,17,C,233
263,85165,Malom,18,C,240
264,90309,Malom,19,C,200
265,82727,Malom,20,C,288
266,75738,Malom,21,C,142
267,61685,Malom,22,C,210
268,81116,Malom,23,C,127
269,21119,Malom,24,C,234
270,41386,Malom,25,C,41
271,44627,Malom,26,C,151
272,53715,Malom,27,C,42
273,44878,Malom,28,C,217
274,63220,Malom,29,C,172
275,44931,Malom,30,C,217
276,45731,Malom,31,C,259
277,47376,Malom,32,C,56
278,67060,Malom,33,C,86
279,97446,Malom,34,C,97
280,55328,Malom,35,C,84
281,23717,Malom,36,C,106
282,52112,Malom,37,C,274
283,96321,Malom,38,C,252
284,71812,Malom,39,C,227
285,45394,Malom,40,C,160
286,93891,Malom,41,C,93
287,60444,Malom,42,C,53
288,29714,Malom,43,C,66
360,84515,Pesti,1,C,84
361,12515,Pesti,2,C,141
362,16264,Pesti,3,C,65
363,71212,Pesti,4,C,209
364,42017,Pesti,5,C,277
365,48855,Pesti,6,C,152
366,38696,Pesti,7,C,91
367,54530,Pesti,8,C,173
368,53390,Pesti,9,C,86
369,15918,Pesti,10,C,205
370,68826,Pesti,11,C,234
371,68468,Pesti,12,C,188
372,34662,Pesti,13,C,109
373,41770,Pesti,14,C,127
374,74346,Pesti,15,C,297
375,97993,Pesti,16,C,62
376,44938,Pesti,17,C,197
377,29207,Pesti,18,C,287
378,94067,Pesti,19,C,286
379,43266,Pesti,20,C,209
380,63332,Pesti,21,C,44
381,30777,Pesti,22,C,195
382,19339,Pesti,23,C,273
383,52699,Pesti,24,C,189
384,56227,Pesti,25,C,281
385,75622,Pesti,26,C,267
386,42837,Pesti,27,C,226
387,80181,Pesti,28,C,147
388,90558,Pesti,29,C,224
389,48105,Pesti,30,C,236
390,12479,Pesti,31,C,278
391,22075,Pesti,32,C,48
392,85243,Pesti,33,C,92
393,28430,Pesti,34,C,281
394,21105,Pesti,35,C,102
395,46543,Pesti,36,C,134
396,21582,Pesti,37,C,218
397,76160,Pesti,38,C,195
398,25314,Pesti,39,C,71
399,38551,Pesti,40,C,154
400,10843,Pesti,41,C,116
401,53090,Pesti,42,C,66
402,61579,Pesti,43,C,265
403,52447,Pesti,44,C,77
404,64927,Pesti,45,C,100
405,73098,Pesti,46,C,116
406,30798,Pesti,47,C,185
407,96368,Pesti,48,C,109
408,62945,Pesti,49,C,253
409,77670,Pesti,50,C,207
410,14348,Pesti,51,C,55
411,65543,Pesti,52,C,219
412,41668,Pesti,53,C,180
413,98196,Pesti,54,C,188
414,42027,Pesti,55,C,180
415,90127,Pesti,56,C,100
416,64569,Pesti,57,C,64
417,48271,Pesti,58,C,123
506,31451,Temesi,1,C,209
507,73683,Temesi,2A,C,100
508,23008,Temesi,2B,C,100
509,56492,Temesi,2C,C,100
510,30863,Temesi,2D,C,100
511,47751,Temesi,3,C,70
512,54115,Temesi,4,C,169
513,95826,Temesi,5A,C,100
514,23231,Temesi,5B,C,100
515,95645,Temesi,6,C,67
516,25359,Temesi,7,C,48
517,60493,Temesi,8,C,121
518,13779,Temesi,9,C,62
519,75797,Temesi,10,C,202
520,86719,Temesi,11,C,173
521,88414,Temesi,12,C,299
522,83360,Temesi,13,C,154
523,16549,Temesi,14,C,62
524,33724,Temesi,15A,C,60
525,33724,Temesi,15B,C,60
526,33347,Temesi,16,C,86
